time;total;exploitable;vols;memoire;retbdd
Thu May 03 22:54:28 CEST 2018;1919078;1610150;13257;12621;0.0
Thu May 03 22:54:34 CEST 2018;1924457;1610150;13257;12621;0.0
Thu May 03 22:54:43 CEST 2018;1929834;1614700;13281;12643;0.0
Thu May 03 22:54:52 CEST 2018;1935209;1619225;13296;12654;0.0
Thu May 03 22:55:00 CEST 2018;1940597;1623755;13312;12666;0.0
Thu May 03 22:55:09 CEST 2018;1945969;1628276;13325;12677;0.0
Thu May 03 22:55:15 CEST 2018;1951341;1628276;13325;12677;0.0
Thu May 03 22:55:23 CEST 2018;1956701;1632808;13341;12689;0.0
Thu May 03 22:55:32 CEST 2018;1962070;1637348;13354;12700;0.0
Thu May 03 22:55:41 CEST 2018;1967420;1641885;13372;12710;0.0
Thu May 03 22:55:50 CEST 2018;1972757;1646391;13381;12716;0.0
Thu May 03 22:56:00 CEST 2018;1978091;1650903;13399;12728;0.0
Thu May 03 22:56:07 CEST 2018;1983425;1650903;13399;12728;0.0
Thu May 03 22:56:16 CEST 2018;1988766;1655421;13417;12743;0.0
Thu May 03 22:56:26 CEST 2018;1994109;1659940;13435;12758;0.0
Thu May 03 22:56:36 CEST 2018;1999466;1664461;13450;12771;0.0
Thu May 03 22:56:45 CEST 2018;2004823;1668973;13463;12778;0.0
Thu May 03 22:56:55 CEST 2018;2010175;1673494;13481;12790;0.0
Thu May 03 22:57:05 CEST 2018;2015519;1678013;13496;12801;0.0
Thu May 03 22:57:16 CEST 2018;2020861;1682517;13517;12816;0.0
Thu May 03 22:57:26 CEST 2018;2026195;1687032;13530;12823;0.0
Thu May 03 22:57:36 CEST 2018;2031523;1691541;13547;12836;0.0
Thu May 03 22:57:48 CEST 2018;2036860;1696029;13568;12852;0.0
Thu May 03 22:57:59 CEST 2018;2042197;1700541;13574;12857;0.0
Thu May 03 22:58:09 CEST 2018;2047531;1705047;13593;12868;0.0
Thu May 03 22:58:19 CEST 2018;2052870;1709557;13611;12881;0.0
Thu May 03 22:58:29 CEST 2018;2058213;1714076;13626;12894;0.0
Thu May 03 22:58:40 CEST 2018;2063552;1718575;13643;12909;0.0
Thu May 03 22:58:51 CEST 2018;2068887;1723201;13673;12932;0.0
Thu May 03 22:59:01 CEST 2018;2074276;1727782;13717;12975;0.0
Thu May 03 22:59:12 CEST 2018;2079683;1732347;13744;13000;0.0
Thu May 03 22:59:23 CEST 2018;2085075;1736902;13763;13011;0.0
Thu May 03 22:59:35 CEST 2018;2090479;1741482;13784;13025;0.0
Thu May 03 22:59:44 CEST 2018;2095888;1746072;13798;13037;0.0
Thu May 03 22:59:54 CEST 2018;2101292;1750659;13810;13043;0.0
